CustomerID,InvoiceDate,InvoiceNo,Quantity,UnitPrice,Country
10102,2023-01-05,270456,9,35.27413960462224,USA
10435,2023-01-02,219585,2,43.93899243315071,Germany
10348,2023-01-22,217272,7,65.23732081481373,UK
10270,2023-04-22,226619,5,7.290624736007793,USA
10106,2023-02-26,275069,3,90.28753986432287,France
10071,2023-03-07,239895,9,54.34708666767105,France
10188,2023-11-26,203720,6,49.347036070385506,India
10020,2023-04-08,219267,1,86.76903290962989,Germany
10102,2023-05-24,215696,5,95.54227598901201,USA
10121,2023-05-05,229968,7,45.225397006449306,India
10466,2023-06-16,253364,4,21.38190253285692,Germany
10214,2023-03-27,223345,8,82.49238065019694,France
10330,2023-03-17,251567,5,43.30974001613628,USA
10458,2023-12-10,291229,9,93.87682625361778,UK
10087,2023-10-21,261607,9,95.24040346394338,France
10372,2023-02-28,219385,9,15.908758013530102,UK
10099,2023-05-18,283658,1,95.87262689662087,UK
10359,2023-04-09,266900,2,39.98568091728649,USA
10151,2023-07-11,268244,3,66.3939891774331,USA
10130,2023-08-31,265425,4,8.301257764734373,UK
10149,2023-11-15,278518,9,89.4440060379641,India
10308,2023-02-18,282844,6,65.95174628776218,UK
10257,2023-02-01,232919,1,66.13767436085982,UK
10343,2023-10-04,290697,9,90.70673519786097,USA
10491,2023-01-20,257196,6,53.2929816161976,Germany
10413,2023-06-03,279401,4,43.9990808344423,France
10293,2023-03-09,200495,4,87.28223146777005,USA
10385,2023-08-02,244755,3,75.52994862778283,India
10191,2023-05-23,267684,7,95.1526881716656,France
10443,2023-08-20,233324,3,94.3115798645006,USA
10276,2023-08-01,278929,2,41.320985633222826,USA
10160,2023-03-20,201552,8,47.4636975634347,Germany
10459,2023-08-02,251272,4,29.318570610123952,India
10313,2023-04-26,235853,8,67.76154946816393,India
10021,2023-04-02,232924,1,39.63148715844422,USA
10252,2023-09-27,274462,5,79.67956142772876,Germany
10235,2023-06-17,296387,9,16.5473222694365,USA
10344,2023-02-27,223889,1,16.058270860745857,UK
10048,2023-10-11,254675,4,24.423261234842705,UK
10474,2023-01-26,273591,6,13.007757901554282,Germany
10058,2023-03-07,270190,8,63.9030027294323,USA
10169,2023-09-05,222634,3,18.99851277159017,Germany
10475,2023-09-11,232363,5,20.196477159427154,USA
10187,2023-02-13,263752,7,6.351681254270769,USA
10463,2023-04-07,277004,1,79.29855138924293,UK
10270,2023-02-11,256398,7,82.1681252652307,France
10189,2023-08-15,298458,8,20.39212955462177,India
10445,2023-09-19,240718,8,75.25482125538632,India
10174,2023-06-16,282916,9,46.18678669994916,Germany
10445,2023-10-06,226870,6,27.761513881712176,India
10050,2023-03-30,237394,6,64.03153776701375,UK
10363,2023-06-27,252057,2,21.955987062973055,France
10054,2023-07-16,279795,3,76.90394272703837,USA
10243,2023-11-03,280409,4,9.523446619202412,USA
10319,2023-09-24,213016,4,96.11743862815187,UK
10130,2023-09-25,242137,8,11.828149102319324,India
10484,2023-03-15,200153,1,60.04759982862552,USA
10306,2023-01-08,207853,4,90.70845756162596,India
10134,2023-10-24,212379,4,6.130924540545783,UK
10020,2023-06-13,215792,1,52.35887379396042,USA
10328,2023-03-26,238367,3,38.25066160951459,Germany
10166,2023-03-13,218100,5,60.13155807450136,France
10273,2023-02-24,263456,6,26.418451740077575,India
10387,2023-02-16,211049,9,11.165425637013852,India
10088,2023-08-26,200786,9,64.46363850062716,India
10315,2023-04-14,269904,9,44.600677751873235,India
10013,2023-07-29,230699,1,64.13612617709182,UK
10241,2023-02-11,247691,9,25.001218949595078,UK
10264,2023-11-12,237040,8,37.18041998058077,UK
